CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U50400AN2023PTC005649,SAAVI MOTOR ANDAMAN PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,15000000.00,15000000.00,2023-01-20,"C/o Sagar Khurana Garacharma,Garacharma,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,50400,Trading
U61100AN2012PTC000186,STAR SHIPPING LOGISTICS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,30000000.00,30000000.00,2012-12-31,"RMS COMPLEX, NO. 83, MOULANA AZAD ROAD   HPO BOX. 227, PHOENIX BAY,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,61100,"Transport, storage and Communications"
U45309AN2020PTC005495,HINDTRADECON PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2020-10-09,"2ND FLOOR, RAJ COMPLEX,  OLD PAHARGAON,   OPPOSITE DBRAIT, DOLLYGUNJ,SOUTH ANDAMAN,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,45309,Construction
U45309AN2020PTC005502,NAIDU EN. CON. (I) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2020-11-02,"C/o Pechheti Naidu, Deen Street Road,   Beside Yes Bank, Junglighat,,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,45309,Construction
U70109AN2011PTC005363,KEC PROJECTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,200000.00,2011-04-07,"WARD NO.18, PLOT NO.22, HARBOUR COLONY   AUSTINABAD, P.O.-BREEZGANG,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,70109,Real Estate and Renting
U70109AN2021PTC005517,ANDAMAN NATURALS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2500000.00,2000000.00,2021-02-10,"NO.75 AND 76, NEAR M/S KARAN FABRICATION,   INDUSTRIAL ESTATE AREA, DOLLYGUNJ VILLAG,E,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,70109,Real Estate and Renting
U46309AN2023PTC006024,PROTRADE ENTERPRISES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-07-28,"SURVEY NO 1/23/1, 1/23/4,FERRARGUNJ TEHSIL,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,46309,Trading
U46309AN2023PTC006038,FOXY INFRASTRUCTURE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-09-15,"Ground Floor, Craikabad,Village Ferrargunj Tehsil,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,46309,Trading
U72900AN2020PTC005487,OWLET TECHNOLOGIES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-07-27,"C/O Nithin M Thomas ,No. 220/4,DP Street   Lillypur Nr PBMC, Haddo, Andaman Islands,PortBlair,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,72900,Business Services
U52190AN1997PTC000055,EMERALD MARKETING SERVICES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,930400.00,1997-01-07,"10 Gandhi Bhavan   Phoenix Bay, Port Blair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,52190,Trading
U52291AN2023OPC006032,LSLS TOUR & TRAVELS (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2023-09-04,"C/o  Sushila Mondal Sabar,Rangat,Rangat,North And Middle Andaman,Andaman and Nicobar Islands,744205-India",Unlisted,Active,andaman and nicobar islands,Indian,52291,"Transport, storage and Communications"
U01100AN2016PTC005301,AMMAN POULTRY AND FEEDS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,3000000.00,2000000.00,2016-05-30,"BEODNABAD   MAKKA PAHAR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,01100,Agriculture and Allied Activities
U55202AN2019PTC005433,FAIRWINGS HOSPITALITY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-01-10,"C/O PHOENIX LODGE, PHONIX BAY,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,55202,Trading
U93190AN2023PTC006053,SEA CRAVE SAFARI PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,1400000.00,2023-10-16,"1653Quarry Hills Tamizhar,Sangam, Phoenix Bay,Portblair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,93190,"Community, personal and Social Services"
U63030AN2021PTC005570,GREAT ORIENTAL TRAVEL PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2021-12-30,"SHUTTER NO 4, TRIPATHI'S BUILDING   NEAR DURGA TEMPLE, NAYAGAON,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U85110AN2023OPC005646,DR. CHHANDA'S CLINIC (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,10000.00,10000.00,2023-01-10,"C/O MANDAL CHHANDA, BRINDA CLINIC   GARACHARMA MEDICAL, SOUTH ANDAMAN,Blair,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,85110,"Community, personal and Social Services"
U51909AN2020PTC005479,ANDAMAN RUPSHA MARKETING AND NETWORKING PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,30000.00,2020-01-13,"W-23/581, NEAR AIRFORCE STATION   PROTHRAPUR, PORT BLAIR,SOUTH ANDAMAN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,51909,Trading
U85499AN2025PTC006140,INTELLIGENCE INSTITUTE OF COMPUTER & TECHNOLOGY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,10000.00,2025-04-16,"H. No. 83, Word No. 5,Ferrargunj,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,85499,"Community, personal and Social Services"
U45206AN2016PTC000282,AL VIJAY INFRASTRUCTURE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,900000.00,2016-02-17,"NO. 4, WARD NO 14   GURUDWARA LINE,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,45206,Construction
U45209AN2016PTC005310,ISLANDER HOUSING PROJECT PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,500000.00,2016-08-12,"Teylarabad, South Andaman,Port Blair,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,45209,Construction
