CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101AN2001PTC000067,HOTEL APARUPA (ANDAMANS) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,337000.00,2001-12-06,"Goal Guar   Link Road,Port Blair,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U55101AN2022PTC005591,COASTALMILE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,10000000.00,9050000.00,2022-04-04,"Survey No. 173/1/2, Lillypur   Haddo Village,,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U55101AN2023PTC006049,AMR GRAND PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-10-12,"C/O AMR GRAAND,PATHARGUDA,BATHUBASTI,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,"Transport, storage and Communications"
U15122AN2012PTC000176,JEHOVAN MARINE EXPORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,500000.00,2012-07-18,"SHOP NO. 23, MUNICIPAL MARKET,   DAIRY FARM, NR. GANESH TEMPLE, SOUTH AND,AMAN,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,15122,Manufacturing (Food stuffs)
U43299AN2024PTC006119,DURAI KARTHIKA INFRA PROJECTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-10-28,"C/O RATAN DEI,S/LINE NEAR G1/1191,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,43299,Construction
U45208AN2011PTC000165,P SURYA RAO CONSTRUCTION (INDIA) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,500000.00,500000.00,2011-10-03,"109 M G ROAD   MIDDLE POINT,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45208,Construction
U28111AN1989PTC000033,SURYADWEEP ISPAT UDHYOG PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,0.00,1989-09-12,"Schooline,Port Blair,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,28111,"Manufacturing (Metals and Chemicals, and products thereof)"
U74900AN2010PTC000148,AGENCY HOUSE (A&N ISLANDS) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000000.00,99924000.00,2010-11-02,"171 ABERDEEN BAZAR   PORT BLAIR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74900,Business Services
U45201AN2014PTC000218,ARUL EARTH MOVERS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,100000.00,2014-03-10,"BIMBLITAN   GARACHARMA,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,45201,Construction
U92419AN2000PTC000063,ANDAMAN SCUBA CLUB PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,7100.00,2000-06-21,"South Point   Port Blair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,92419,"Community, personal and Social Services"
U52291AN2024PTC006081,ANDAMAN HIDDEN PARADISE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-02-09,"SURVEY NO. 393/9,PATHAR GUDDA, BHATU BASTI,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,52291,"Transport, storage and Communications"
U93000AN2013PTC000208,ANDAMAN SEA KING PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-09-06,"MESHACK MARKET, 2ND FLOOR   ABERDEEN BAZAR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,93000,"Community, personal and Social Services"
U74994AN2022OPC005587,ALUXE LIFESTYLE (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2022-03-23,"Shop No. 1 and 2, Ground Floor,   S Square Complex, Shadipur, Port Blair,,Andaman,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Active,andaman and nicobar islands,Indian,74994,Business Services
U74999AN2018PTC005407,LAZO INFRASTRUCTURE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2018-05-24,"Mr. M A FEROZ   NEAR ISLAMIC GUIDANCE CENTRE, JUNGLIGHAT,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U85190AN2021PTC005567,MAINLAND HEALTHCARE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2021-12-06,"C/O GOURI BHAKTA,   G/LINE,ABERDEENBAZAR,Andaman Islands,Andaman and Nicobar Islands,744104-India",Unlisted,Active,andaman and nicobar islands,Indian,85190,"Community, personal and Social Services"
U45203AN2010PTC000140,GCVD INFRATECH PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,750000.00,2010-04-30,"V.I.P. ROAD   JUNGLIGHAT,PORT BLAIR,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,45203,Construction
U52390AN2022PTC005620,GET N GO STORES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2022-09-22,"1ST FLOOR, DIBAKAR CHAKRABORTY BUILDING   NEAR SBI BANK, CHOULDARI VILLAGE,,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,52390,Trading
U46305AN2024PTC006071,ANISHA SPICES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2024-01-03,"98 NAMUNAGHARS,PORT BLAIR,Ferrargunj,South Andaman,Andaman and Nicobar Islands,744206-India",Unlisted,Active,andaman and nicobar islands,Indian,46305,Trading
U55200AN2015PTC000267,JOYE GRAND HOTEL PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,900000.00,900000.00,2015-08-05,"GOVINDA NAGAR, HAVELOCK ISLAND   PORT BLAIR TEHSIL , DISTRICT SOUTH ANDAM,AN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744211-India",Unlisted,Active,andaman and nicobar islands,Indian,55200,Trading
U55209AN2018PTC005408,SANDBAR BEACH RESORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2018-05-28,"SURVEY NO.- 365/5   BATHUBASTI, GARACHARMA,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,55209,Trading
U93110AN2023PTC006059,CRAFTOPIA TRADERS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2023-11-22,"SY NO 74/5/3, DHANIKHARI,VILLAGE,FERRARGUNJ TEHSIL,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,93110,"Community, personal and Social Services"
U63030AN2022PTC005589,KHALKO TOURS & HOLIDAY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,10000.00,10000.00,2022-03-31,"C/O TEBUES KERKETTA,ABC COLONY(R.K.   HOUSE),P.O.SHADIPUR,DIST SOUTH ANDAMAN,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U75111AN2016GOI005309,PORT BLAIR SMART PROJECTS LIMITED,ROC Andaman,Company limited by shares,Union government company,Public,10000000.00,1000000.00,2016-07-27,"PBMC, CRC BUILDING   DAIRYFARM, PORT BLAIR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,75111,"Community, personal and Social Services"
U45200AN2011PTC000162,PRASHANTH ERECTOR AND BUILDERS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,5000000.00,2011-09-02,"109 M G ROAD   MIDDLE POINT,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,45200,Construction
U65990AN2019PLC005447,BONZER INDIA NIDHI LIMITED,ROC Andaman,Company limited by shares,Non-government company,Public,1500000.00,500000.00,2019-05-01,"NEAR BUS TERMINAL RANGAT, POST-RANGAT   NORTH AND MIDDLE ANDAMAN,RANGAT,Andaman Islands,Andaman and Nicobar Islands,744205-India",Unlisted,Active,andaman and nicobar islands,Indian,65990,Finance
U45208AN2013PLC000202,ANID PROJECTS LIMITED,ROC Andaman,Company limited by shares,Non-government company,Public,500000.00,500000.00,2013-07-26,"GOAL GHAR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,45208,Construction
U50401AN2021OPC005535,SHRAKSHI FUEL (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,100000.00,10000.00,2021-07-20,"C-30, Tushnabad Near APWD Office,Ferrargunj,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,50401,Trading
U74900AN2012PTC000177,DE MEADOWS (ANDAMANS) RESORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2012-07-25,"BIRDLINE JUNCTION   POST OFFICE-CALICUT,SOUTH ANDAMAN,Andaman and Nicobar Islands,744105-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,74900,Business Services
U45201AN2022PTC005613,INLAND ACE CONSTRUCTION PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2022-08-25,"No 5, Ward No 7, Madhupur   Diglipur,Andaman,Andaman Islands,Andaman and Nicobar Islands,744202-India",Unlisted,Active,andaman and nicobar islands,Indian,45201,Construction
U46301AN2023PTC006025,AMMAN POULTRY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2023-08-08,"C/O MACCAPAHAD BEODNABAD,(PO) SOUTH,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,46301,Trading
U88900AN2024NPL006098,GSLKB UMBRELLA MARINE EDUCATION AND RESEARCH FOUNDATION,ROC Andaman,Company limited by guarantee,Non-government company,Private,0.00,0.00,2024-05-21,"511/2 TANK ROAD,NEAR MARIYAMMAN TEMPLE,Portblair,South Andaman,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,88900,"Community, personal and Social Services"
U92400AN2007PTC000091,MAINAK PROJECTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,2035500.00,2007-12-12,"M.B 31   MIDDLE POINT,PORT BLAIR,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,92400,"Community, personal and Social Services"
U92412AN2018PTC005391,DEGREE CELSIUS TOURISM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,200000.00,200000.00,2018-01-11,"2nd Floor, Round Basthi, Aberdeen Village   South Andaman,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,92412,"Community, personal and Social Services"
U92419AN1996PTC000051,ANDAMAN ADVENTURE SPORTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,10000.00,1996-04-19,"10 M G Road   Port Blair,NA,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,92419,"Community, personal and Social Services"
U92419AN2017PTC005365,STARFISH ADVENTURES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,4500000.00,2017-09-08,"Opposite Tamizhar Sangam, Quarry Hill,   70 MB, Port Blair, South Andaman,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,92419,"Community, personal and Social Services"
U70200AN2021PTC005541,TEN DIMENSION PROPERTIES INDIA PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,50000.00,2021-08-24,"56/08A GROUND FLOOR, NAYA GAON   BARGAT LINE SOUTH ANDAMAN -744112,ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744112-India",Unlisted,Active,andaman and nicobar islands,Indian,70200,Real Estate and Renting
U92490AN2016PTC005303,KP GAMES AND EATERIES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2000000.00,100000.00,2016-06-03,"SCHOOL LINE   SOUTH ANDAMAN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,92490,"Community, personal and Social Services"
U92490AN2020PTC005510,AQUAMARINE ADVENTURES PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-12-29,"Near Gate No. 2, Burma Jail   Prathrapur,PortBlair,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,92490,"Community, personal and Social Services"
U74999AN1988SGC000028,ANDAMAN AND NICOBAR ISLANDS INTEGRATED DEVELOPMENT CORPORATION LIMITED.,ROC Andaman,Company limited by shares,State government company,Private,500000000.00,109700600.00,1988-06-28,"VIKAS BHAVAN   POST BOX NO.180,,PORT BLAIR,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2017PTC005356,COLOURS OF EMERALD ISLANDS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-05-31,"HADDO (BACK TEL. MEDIUM SCHOOL)   PORT BLAIR,SOUTH ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2018PTC005406,ISLAND NAUTICA PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,15000000.00,8650000.00,2018-05-23,"SMTI.FLORENCE D SOUZA   C-76(1), WARD NO 12,DIGNABAD,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2018PTC005413,MOUNTAIN EDGE HOTELS & HOSPITALITY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,10000000.00,5000000.00,2018-08-02,"Opp. Rajasthan Manch,   Shadipur,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744106-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2019PTC005437,MARINE ENGINEERING AND TRADE SERVICES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,5000000.00,2019-01-30,"MB-61 , MA ROAD, PHOENIX BAY,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U55101AN2011PTC005362,BAY WATCH HOTEL & RESORT PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,2310000.00,2011-04-07,"DA BAY INN   S S ROAD, HADDO,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U63030AN2016OPC005312,MAKE MY JOURNEY (OPC) PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2016-08-24,"3RD FLOOR, SHAROOPLAL BUILDING,   MARTHOMA CURCH ROAD, GOAL GHAR,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U63030AN2019PTC005443,MEGAVARNAM TRAVELS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2019-03-26,"NO.65, MOHAMMED FAROOQ COMPLEX   MOULANA AZAD ROAD, PHOENIX BAY,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U63030AN2022PTC005606,ANDAMAN JASMINE TRAVELS AND TOURISM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-06-27,"C/o Abdulla   V /Nagar,Bambooflat,Andaman Islands,Andaman and Nicobar Islands,744107-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U79110AN2023PTC006015,BHAKTO HOSPITALITY PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-06-13,"MUMTAZ ALI BUILDING,POLLY,TECHNIC ROAD,DOLLYGUNJ PO,Port Blair,South Andaman,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,79110,"Community, personal and Social Services"
U15122AN2010PTC000131,ICY SPICY ICE CREAM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2010-01-22,"BASMENT, ISELAND ARCADE   JUNGLIGHAT,PORT BLAIR,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,15122,Manufacturing (Food stuffs)
U51506AN1986PTC000021,STUDENTS STORES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,300000.00,0.00,1986-12-04,"Aberdeen Bazar   Port Blair,Andamans,Andaman and Nicobar Islands,744104-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,51506,Trading
U74120AN2015PTC000277,DIVE MANTRA PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2015-11-03,"02 FORESHORE ROAD, NEAR CHATHAM POLICE STATION   HADDO PO, VILLAGE HADDO, SOUTH ANDAMAN,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,74120,Business Services
U74900AN2014PTC000219,ABLE TOURISM (INDIA) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,2500000.00,1350000.00,2014-03-18,"M.B 210   SHADIPUR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74900,Business Services
U72900AN2022PTC005612,GKR INFOTECH PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,10000.00,2022-08-17,"C/O SHIPRA MONDAL, ATTAM PAHAD   DOLLYGUNJ, GARACHARMA,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,72900,Business Services
U31904AN2019PTC005461,ECO-AIRCON SYSTEMS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2019-08-27,"C/O RICKY SINGH, S/O BRESH DEVI,   OPP. POLYTECHNIC GATE, LOKENATH COLONY,,DOLLYGINJ,,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,31904,Manufacturing (Machinery and Equipments)
U55101AN2011PTC005345,PRINCE HOLIDAY INN PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,5000000.00,200000.00,2011-04-04,"GARACHARMA POST, OPPOSITE I.O.B.   GARACHARMA,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,55101,Trading
U01500AN2024PTC006120,PUSHPA GOAT FARMING PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-11-20,"C/o Kesavan Srinivasan,Survey no 255/182/9,,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,01500,Agriculture and Allied Activities
U63030AN2022PTC005609,AVALON YACHTING AND TOURISM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,50000.00,2022-07-14,"GOAL GHAR, PO- HADDO, JN ROAD   (OPPOSITE HOTEL ANDAMAN RESIDENCY,,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U63030AN2022PTC005628,DUGONG ADVENTURE PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-11-02,"V M ABBAS, NAMUNAGHAR   FERRERGUNJ TEHSIL, PORT BLAIR,ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744206-India",Unlisted,Active,andaman and nicobar islands,Indian,63030,"Transport, storage and Communications"
U51900AN2020PTC005493,SHREESH ENTERPRISES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,200000.00,2020-09-14,"C/o M ELAMATHI, 39/2 OLD PAHARGAON,   DOLLYGUNJ,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,51900,Trading
U50400AN2021OPC005534,RENAZ FILLING (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,100000.00,50000.00,2021-07-16,"Survey No. 159, Vill. Wandoor   Tehsil - Ferrargunj,South Andaman,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,50400,Trading
U45201AN2003PTC000069,S.H. REALTORS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2003-11-07,"Junglighat   Port Blair,Port Blair,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,45201,Construction
U63040AN2012PTC000178,R D R TRAVEL ADVISORS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-08-08,"POST BOX NO-656   NEAR SHREE VENKATE SHWARA TEMPLE, HADDO,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,63040,"Transport, storage and Communications"
U40105AN2021PTC005511,ECOPREEN SOLUTIONS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-01-09,"D/NO.2515,WARD NO.18,NEAR KALI MANDIR   GARACHARMA, SOUTH ANDAMAN,PORT BLAIR,GARACHARMA,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,40105,"Electricity, Gas and Water companies"
U22130AN2004PTC000073,GEZIRA PUBLICATIONS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,475000.00,2004-11-30,"Whitehouse,23/3, Kalibari Road    Prem Nagar,Port Blair,Andaman and Nicobar Islands,744103-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,22130,"Manufacturing (Paper and Paper products, Publishing, printingand reproduction of recorded media)"
U45202AN2014PTC000224,MANICKAM PROJECTS PRIVATE LIMITED,ROC Chennai,Company limited by shares,Non-government company,Private,2000000.00,150000.00,2014-07-09,"NO. 16 H.C ROAD   HORTICULTURE ROAD, HADDO,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744102-India",Unlisted,Active,andaman and nicobar islands,Indian,45202,Construction
U52292AN2025PTC006139,GREEN OCEAN GLOBAL PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-04-12,"No. 18/4,Old Bimbiltan Village,Port Blair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,52292,"Transport, storage and Communications"
U45309AN2021OPC005532,ASSETS ANDAMAN (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,1500000.00,50000.00,2021-07-09,"C/O N. DILIP KUMAR , PROTHRAPUR   OPP S.L INTERNATIONAL,ANDAMAN,Andaman Islands,Andaman and Nicobar Islands,744103-India",Unlisted,Active,andaman and nicobar islands,Indian,45309,Construction
U72900AN2019PTC005468,NOUVEAU TECHSOLUTIONS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-09-24,"64 M A Road   Phoenix Bay,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,72900,Business Services
U74999AN2012PTC000171,BEST FOR YOU GOOD APPLIANCES PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,100000.00,100000.00,2012-03-19,"C 269, Netaj Nagar   Prothara, Port Blair,South Andaman,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U74999AN2018PTC005416,KPASM PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2018-09-01,"MR.MAHANANDA BISWAS   BIRDLINE VILLAGE,SURVEY NO 539/1/3/3,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,74999,Business Services
U63031AN1995PTC000049,DOLPHIN AQUA PRODUCTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,15000.00,1995-03-07,"12 Andhra Association Complex   Gurdwara Road,Port Blair,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,63031,"Transport, storage and Communications"
U63090AN2023PTC005650,SAKTHI HOLIDAYS INN PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-01-20,"1653, SAKTHI GROUP BUILDING, QUARRY HILL   BESIDE TAMIZHAR SANGAM, PHOENIX BAY,,PORTBLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Active,andaman and nicobar islands,Indian,63090,"Transport, storage and Communications"
U79110AN2024OPC006070,ANDAMAN TRAVEL AND ADVENTURES (OPC) PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,One Person Company,300000.00,300000.00,2024-01-01,"C/O Sarika Bai,Near Pumphouse, Calicut,Port Blair,South Andaman,Andaman and Nicobar Islands,744105-India",Unlisted,Active,andaman and nicobar islands,Indian,79110,"Community, personal and Social Services"
U14100AN2009PTC000126,ANDAMAN STONE PRODUCTS PRIVATE LIMITED,ROC Andaman,Company limited by shares,Non-government company,Private,1000000.00,150000.00,2009-12-09,"M.B 34   ABERDEEN BAZAR,PORT BLAIR,Andaman Islands,Andaman and Nicobar Islands,744101-India",Unlisted,Strike Off,andaman and nicobar islands,Indian,14100,Mining and Quarrying
